# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 03-10-2019 14:30:09                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     40738,         0,BROMFLEET TM                  ,03-10-2019 13:00:00,     -.187,L,Below Minor,Steady        ,       16.8,Mundoolun Br (Beaudesert-Beenleigh Rd)  ,B,  153.1056,  -27.9114                                                                                                                                                                                                                   
     40754,         0,RATHDOWNEY TM                 ,03-10-2019 13:00:00,      .718,L,Below Minor,Steady        ,           ,					                                   , ,  152.8681,  -28.2153                                                                                                                                                                                                                   
     40761,         0,WOLFFDENE ALERT               ,03-10-2019 14:24:26,        .9,A,Below Minor,Rising        ,           ,					                                   , ,  153.1889,  -27.7828                                                                                                                                                                                                                   
     40762,         0,YARRAHAPPINI TM               ,03-10-2019 13:00:00,        .5,L,Below Minor,Steady        ,       17.4,Paynes Bridge				                       ,B,  152.9878,  -27.8336                                                                                                                                                                                                                   
     40763,         0,WIVENHOE DAM                  ,03-10-2019 09:00:00,     60.29,L,Unknown    ,Steady        ,         67,					                                   ,F,  152.6097,   -27.395                                                                                                                                                                                                                   
     40777,         0,IMBIL ALERT                   ,03-10-2019 12:06:53,      2.14,L,Below Minor,Steady        ,           , 				                                   , ,  152.6803,  -26.4572                                                                                                                                                                                                                   
     40778,         0,ZACHARIAH TM                  ,03-10-2019 13:00:00,     1.285,L,Below Minor,Steady        ,           ,					                                   , ,  152.6283,  -26.3583                                                                                                                                                                                                                   
     40780,         0,HYGAIT TM                     ,03-10-2019 13:00:00,      .123,L,Below Minor,Steady        ,           ,					                                   , ,  152.6483,  -26.3817                                                                                                                                                                                                                   
     40782,         0,COORAN TM                     ,03-10-2019 13:00:00,       1.2,L,Below Minor,Steady        ,           ,					                                   , ,  152.8136,  -26.3297                                                                                                                                                                                                                   
     40789,         0,DURACK KING AVE ALERT         ,03-10-2019 10:56:41,      4.46,L,Below Minor,Steady        ,           ,					                                   , ,  152.9968,  -27.5936                                                                                                                                                                                                                   
     40791,         0,COOPERS PLAINS ALERT          ,03-10-2019 12:45:07,      4.04,L,Below Minor,Falling       ,           ,					                                   , ,  153.0269,   -27.565                                                                                                                                                                                                                   
     40796,         0,BEATTY ROAD ALERT             ,03-10-2019 09:11:13,         1,L,Below Minor,Steady        ,           ,					                                   , ,  153.0094,  -27.5875                                                                                                                                                                                                                   
     40811,         0,KILKIVAN TM                   ,03-10-2019 13:00:00,         0,L,Below Minor,Steady        ,           ,					                                   , ,  152.2167,  -26.0833                                                                                                                                                                                                                   
     40812,         0,MOGGILL ALERT                 ,03-10-2019 14:27:46,      1.15,L,Below Minor,Rising        ,           ,					                                   , ,  152.8578,  -27.5861                                                                                                                                                                                                                   
     40813,         0,UPPER BROOKFIELD TM           ,03-10-2019 13:00:00,      .325,L,Below Minor,Steady        ,           ,					                                   , ,  152.8833,  -27.4833                                                                                                                                                                                                                   
     40814,         0,MOY POCKET TM                 ,03-10-2019 13:00:00,       .71,L,Below Minor,Steady        ,           ,                                        , ,  152.7439,  -26.5261                                                                                                                                                                                                                   
     40816,         0,AMBERLEY (DNRM) TM            ,03-10-2019 13:00:00,     1.534,L,Below Minor,Steady        ,           ,					                                   , ,  152.6989,  -27.6658                                                                                                                                                                                                                   
     40817,         0,RIFLE RANGE ROAD TM           ,03-10-2019 13:00:00,      .169,L,Below Minor,Steady        ,           ,					                                   , ,  152.5333,  -27.4667                                                                                                                                                                                                                   
     40822,         0,GREGOR CREEK TM               ,03-10-2019 13:00:00,      .746,L,Below Minor,Steady        ,           ,					                                   , ,  152.3997,  -26.9997                                                                                                                                                                                                                   
     40823,         0,ROSENTRETERS BRIDGE TM        ,03-10-2019 13:00:00,      .689,L,Below Minor,Steady        ,           ,					                                   , ,  152.3294,  -27.1381                                                                                                                                                                                                                   
     40824,         0,FISHERMANS POCKET TM          ,03-10-2019 13:00:00,     1.495,L,Below Minor,Steady        ,           ,					                                   , ,  152.5994,  -26.1711                                                                                                                                                                                                                   
     40825,         0,MARODIAN TM                   ,03-10-2019 13:00:00,      .654,L,Below Minor,Steady        ,           ,					                                   , ,  152.3497,     -25.9                                                                                                                                                                                                                   
     40826,         0,MIVA TM                       ,03-10-2019 13:00:01,     1.604,L,Below Minor,Steady        ,         22,Mary River Bridge			                    ,B,     152.5,    -25.95                                                                                                                                                                                                                   
     40827,         0,BAN BAN TM                    ,03-10-2019 13:00:15,      .459,L,Below Minor,Steady        ,           ,					                                   , ,  151.8083,  -25.7108                                                                                                                                                                                                                   
     40829,         0,HELIDON TM                    ,03-10-2019 13:00:00,      .386,L,Below Minor,Steady        ,           ,					                                   , ,  152.1133,  -27.5439                                                                                                                                                                                                                   
     40830,         0,BELLBIRD CREEK TM             ,03-10-2019 13:00:00,      .455,L,Below Minor,Steady        ,           ,                                        , ,  152.7046,  -26.6274                                                                                                                                                                                                                   
     40831,         0,IPSWICH ALERT                 ,03-10-2019 14:24:18,       .97,L,Below Minor,Rising        ,       24.9,David Trumpy Bridge			                  ,B,  152.7611,  -27.6117                                                                                                                                                                                                                   
     40832,         0,FOREST HOME TM                ,03-10-2019 13:00:00,      .343,L,Below Minor,Steady        ,        3.8,Addis Bridge 			                        ,B,    152.77,  -28.2033                                                                                                                                                                                                                   
     40833,         0,HOME PARK TM                  ,03-10-2019 13:00:00,     1.055,L,Below Minor,Steady        ,           ,					                                   , ,   152.525,  -25.7683                                                                                                                                                                                                                   
     40834,         0,LITZOWS TM                    ,03-10-2019 13:00:00,      .713,L,Below Minor,Steady        ,           ,					                                   , ,    152.05,   -26.295                                                                                                                                                                                                                   
     40836,         0,ONE MILE BRIDGE ALERT         ,03-10-2019 14:00:24,       4.3,L,Below Minor,Steady        ,       17.2,One Mile Bridge			                      ,B,  152.7461,  -27.6272                                                                                                                                                                                                                   
     40837,         0,STONELANDS TM                 ,03-10-2019 14:00:00,       .75,L,Below Minor,Steady        ,           ,					                                   , ,   151.725,  -26.0467                                                                                                                                                                                                                   
     40838,         0,THREE MILE BRIDGE ALERT       ,03-10-2019 12:15:33,    10.177,L,Below Minor,Steady        ,       19.1,Three Mile Bridge			                    ,B,  152.7269,  -27.6322                                                                                                                                                                                                                   
     40841,         0,CROFTBY TM                    ,03-10-2019 13:00:00,      .433,L,Below Minor,Steady        ,           ,					                                   , ,    152.57,  -28.1481                                                                                                                                                                                                                   
     40846,         0,CLEARVIEW ALERT               ,03-10-2019 11:30:54,       .19,L,Below Minor,Steady        ,           ,					                                   , ,  153.3083,  -28.0017                                                                                                                                                                                                                   
     40847,         0,HINZE DAM HW ALERT            ,03-10-2019 12:30:56,      -2.3,L,Below Minor,Falling       ,          0,Hinze Dam spillway                      ,S,  153.2817,  -28.0522                                                                                                                                                                                                                   
     40873,         0,HARDING STREET ALERT          ,03-10-2019 14:30:03,     20.87,L,Below Minor,Steady        ,           ,					                                   , ,  152.7903,  -27.6375                                                                                                                                                                                                                   
     40874,         0,BRISBANE ROAD ALERT           ,03-10-2019 14:23:44,      1.62,L,Below Minor,Rising        ,           ,					                                   , ,  152.9083,  -27.6078                                                                                                                                                                                                                   
     40878,         0,WATERFORD ALERT               ,03-10-2019 14:24:59,       1.1,L,Below Minor,Rising        ,         11,Waterford Bridge 		                     ,B,  153.1364,  -27.6947                                                                                                                                                                                                                   
     40896,         0,TEDDINGTON WEIR HW TM         ,03-10-2019 12:00:00,      8.35,A,Below Minor,Steady        ,        8.7,                                        ,W,  152.6633,  -25.6517                                                                                                                                                                                                                   
     40903,         0,PACIFIC HAVEN ALERT           ,03-10-2019 14:28:59,       .78,L,Below Minor,Falling       ,           ,					                                   , ,  152.5319,  -25.2386                                                                                                                                                                                                                   
     40904,         0,RAILWAY BRIDGE ALERT          ,03-10-2019 13:24:23,      1.57,L,Below Minor,Steady        ,           ,					                                   , ,  152.5089,  -25.2756                                                                                                                                                                                                                   
     40906,         0,LENTHALLS DAM ALERT           ,03-10-2019 14:25:21,     24.74,L,Unknown    ,Falling       ,         26,Full Supply Level			                    ,F,  152.5317,  -25.4019                                                                                                                                                                                                                   
     40935,         0,MACLEAN BRIDGE ALERT          ,03-10-2019 12:00:27,      -.76,L,Below Minor,Steady        ,         17,Maclean Br (Mt Lindesay Hwy)		          ,A,  153.0161,  -27.7864                                                                                                                                                                                                                   
     40937,         0,BENOBBLE ALERT                ,03-10-2019 12:03:04,       .14,L,Below Minor,Steady        ,        9.1,Benobble Br (Beaudesert-Nerang Rd)	     ,B,  153.1575,  -27.9978                                                                                                                                                                                                                   
     40938,         0,BROMFLEET ALERT               ,03-10-2019 12:02:11,      -.14,L,Below Minor,Steady        ,       16.8,Mundoolun Br (Beaudesert-Beenleigh Rd)  ,B,  153.1047,  -27.9108                                                                                                                                                                                                                   
     40939,         0,BEAUDESERT ALERT              ,03-10-2019 12:41:39,       .51,L,Below Minor,Steady        ,        9.8,Alan Struss Br (Allan Creek Rd)	        ,B,  152.9861,  -27.9681                                                                                                                                                                                                                   
     40940,         0,YARRAHAPPINI ALERT            ,03-10-2019 13:01:34,       .45,L,Below Minor,Steady        ,       17.4,Paynes Bridge				                       ,B,  152.9878,  -27.8336                                                                                                                                                                                                                   
     40943,         0,DIECKMANS BRIDGE ALERT        ,03-10-2019 12:03:58,       .43,L,Below Minor,Steady        ,        4.7,Dieckmann Br (Running Creek Rd)	        ,B,  152.8908,  -28.2453                                                                                                                                                                                                                   
     40944,         0,RUDDS LANE ALERT              ,03-10-2019 12:39:35,       .78,L,Below Minor,Steady        ,        8.6,Christmas Creek Bridge		                ,B,  152.9833,  -28.1692                                                                                                                                                                                                                   
